Instancia,Algoritmo,Position,Fitness,Evals,Time
../datos/ca-GrQc.txt,RandomSearch,10,14.8,10000,0.64957
../datos/ca-GrQc.txt,Greedy,1,17.8,10,0.0016888
../datos/ca-GrQc.txt,LocalSearch-LSall,3,17.55,10000,0.804755
../datos/ca-GrQc.txt,LocalSearch-BLsmall,6,16.15,10000,0.590883
../datos/ca-GrQc.txt,AGG-ConOrden,14,14.05,1020,0.0575146
../datos/ca-GrQc.txt,AGG-SinOrden,17,12.6,1020,0.0322612
../datos/ca-GrQc.txt,AGE-ConOrden,16,12.6,1000,0.0348546
../datos/ca-GrQc.txt,AGE-SinOrden,9,15.05,1000,0.0710994
../datos/ca-GrQc.txt,AM-1(All),4,16.7,30330,1.62782
../datos/ca-GrQc.txt,AM-2(Random),18,12.5,1020,0.0466288
../datos/ca-GrQc.txt,AM-3(Best),12,14.1,1020,0.0648046
../datos/ca-GrQc.txt,Mejor-P2(AM-1(All)),5,16.7,30330,1.62782
../datos/ca-GrQc.txt,ES,7,15.25,211,0.0121124
../datos/ca-GrQc.txt,BMB,11,14.35,1010,0.0822485
../datos/ca-GrQc.txt,ILS,8,15.05,1001,0.0786632
../datos/ca-GrQc.txt,ILS-ES,15,12.8,326,0.00792913
../datos/ca-GrQc.txt,GRASP-NOBL,2,17.7,10,0.0144564
../datos/ca-GrQc.txt,GRASP-SIBL,13,14.05,1000,0.0884402
../datos/p2p-Gnutella05.txt,RandomSearch,9,11.55,10000,0.872791
../datos/p2p-Gnutella05.txt,Greedy,2,13.6,10,0.00142362
../datos/p2p-Gnutella05.txt,LocalSearch-LSall,8,11.65,10000,0.193015
../datos/p2p-Gnutella05.txt,LocalSearch-BLsmall,3,13.15,10000,0.369119
../datos/p2p-Gnutella05.txt,AGG-ConOrden,6,11.7,1020,0.0305294
../datos/p2p-Gnutella05.txt,AGG-SinOrden,7,11.7,1020,0.0289892
../datos/p2p-Gnutella05.txt,AGE-ConOrden,18,11.15,1000,0.022628
../datos/p2p-Gnutella05.txt,AGE-SinOrden,11,11.45,1000,0.0262855
../datos/p2p-Gnutella05.txt,AM-1(All),4,12.25,30330,0.940652
../datos/p2p-Gnutella05.txt,AM-2(Random),15,11.25,1020,0.0571131
../datos/p2p-Gnutella05.txt,AM-3(Best),17,11.2,1020,0.0563664
../datos/p2p-Gnutella05.txt,Mejor-P2(AM-1(All)),5,12.25,30330,0.940652
../datos/p2p-Gnutella05.txt,ES,16,11.2,137,0.00262811
../datos/p2p-Gnutella05.txt,BMB,10,11.55,1010,0.101622
../datos/p2p-Gnutella05.txt,ILS,13,11.4,1001,0.09999
../datos/p2p-Gnutella05.txt,ILS-ES,14,11.25,407,0.0077516
../datos/p2p-Gnutella05.txt,GRASP-NOBL,1,13.7,10,0.0182496
../datos/p2p-Gnutella05.txt,GRASP-SIBL,12,11.4,1000,0.09983
../datos/p2p-Gnutella08.txt,RandomSearch,13,11.4,10000,0.675514
../datos/p2p-Gnutella08.txt,Greedy,1,13.35,10,0.000814156
../datos/p2p-Gnutella08.txt,LocalSearch-LSall,8,11.7,10000,0.170836
../datos/p2p-Gnutella08.txt,LocalSearch-BLsmall,5,12.6,10000,0.316308
../datos/p2p-Gnutella08.txt,AGG-ConOrden,15,11.4,1020,0.0224926
../datos/p2p-Gnutella08.txt,AGG-SinOrden,7,11.8,1020,0.0235307
../datos/p2p-Gnutella08.txt,AGE-ConOrden,9,11.5,1000,0.02547
../datos/p2p-Gnutella08.txt,AGE-SinOrden,16,11.35,1000,0.0240212
../datos/p2p-Gnutella08.txt,AM-1(All),4,12.85,30330,0.675459
../datos/p2p-Gnutella08.txt,AM-2(Random),6,11.8,1020,0.0326943
../datos/p2p-Gnutella08.txt,AM-3(Best),14,11.4,1020,0.0340259
../datos/p2p-Gnutella08.txt,Mejor-P2(AM-1(All)),3,12.85,30330,0.675459
../datos/p2p-Gnutella08.txt,ES,18,11.1,146,0.00189456
../datos/p2p-Gnutella08.txt,BMB,12,11.45,1010,0.0534877
../datos/p2p-Gnutella08.txt,ILS,17,11.3,1001,0.0439986
../datos/p2p-Gnutella08.txt,ILS-ES,10,11.5,334,0.00391384
../datos/p2p-Gnutella08.txt,GRASP-NOBL,2,12.95,10,0.00737248
../datos/p2p-Gnutella08.txt,GRASP-SIBL,11,11.5,1000,0.0543684
../datos/p2p-Gnutella25.txt,RandomSearch,12,11.3,10000,1.30754
../datos/p2p-Gnutella25.txt,Greedy,1,13.9,10,0.00177551
../datos/p2p-Gnutella25.txt,LocalSearch-LSall,6,11.8,10000,0.166554
../datos/p2p-Gnutella25.txt,LocalSearch-BLsmall,3,12.35,10000,0.221869
../datos/p2p-Gnutella25.txt,AGG-ConOrden,18,11,1020,0.0183949
../datos/p2p-Gnutella25.txt,AGG-SinOrden,7,11.8,1020,0.0225025
../datos/p2p-Gnutella25.txt,AGE-ConOrden,16,11,1000,0.0198116
../datos/p2p-Gnutella25.txt,AGE-SinOrden,8,11.55,1000,0.0435453
../datos/p2p-Gnutella25.txt,AM-1(All),4,12.1,30330,1.05217
../datos/p2p-Gnutella25.txt,AM-2(Random),10,11.3,1020,0.0994741
../datos/p2p-Gnutella25.txt,AM-3(Best),15,11.05,1020,0.0904214
../datos/p2p-Gnutella25.txt,Mejor-P2(AM-1(All)),5,12.1,30330,1.05217
../datos/p2p-Gnutella25.txt,ES,9,11.55,262,0.00357086
../datos/p2p-Gnutella25.txt,BMB,11,11.3,1010,0.158306
../datos/p2p-Gnutella25.txt,ILS,13,11.15,1001,0.145569
../datos/p2p-Gnutella25.txt,ILS-ES,17,11,378,0.0053011
