Algorithm,Instance,Mean Fitness,Min Fitness,Max Fitness,Deviation %,Mean Time (s),Min Time (s),Max Time (s)
AGE-Uniform,GKD-b_44_n150_m15,63.2053,55.5464,78.7163,58.9661,0.0923,0.0867,0.1078
AGE-Uniform,GKD-b_2_n25_m2,0.0,0.0,0.0,0.0,0.0506,0.0504,0.0507
AGE-Uniform,GKD-b_5_n25_m2,0.0,0.0,0.0,0.0,0.0505,0.0503,0.0509
AGE-Uniform,GKD-b_6_n25_m7,25.4964,13.4793,33.4458,50.1185,0.0448,0.0443,0.0451
AGE-Uniform,GKD-b_32_n125_m12,46.7333,31.9171,60.2113,59.7954,0.0736,0.0729,0.074
AGE-Uniform,GKD-b_18_n50_m15,79.0906,48.0938,101.827,45.384,0.0724,0.0716,0.073
AGE-Uniform,GKD-b_38_n125_m37,498.4301,421.5652,587.2073,62.2882,0.2394,0.2367,0.2422
AGE-Uniform,GKD-b_17_n50_m15,93.7641,69.0339,124.2539,48.6929,0.0742,0.0737,0.0751
AGE-Uniform,GKD-b_39_n125_m37,342.1474,288.7168,418.3789,50.7259,0.2341,0.2325,0.2359
AGE-Uniform,GKD-b_21_n100_m10,37.7519,30.0824,43.9688,63.3607,0.0661,0.0648,0.0682
AGE-Uniform,GKD-b_48_n150_m45,457.6459,287.7344,603.4116,50.454,0.3297,0.3283,0.3331
AGE-Uniform,GKD-b_11_n50_m5,9.1855,7.0551,10.7081,79.0311,0.047,0.0458,0.0477
AGE-Uniform,GKD-b_19_n50_m15,95.5358,72.2324,131.2827,51.4188,0.0727,0.0722,0.073
AGE-Uniform,GKD-b_47_n150_m45,493.3399,392.4746,568.3506,53.6622,0.3233,0.3224,0.3251
AGE-Uniform,GKD-b_41_n150_m15,53.0317,37.9302,88.8711,55.9771,0.0889,0.0878,0.0904
AGE-Uniform,GKD-b_1_n25_m2,0.0,0.0,0.0,0.0,0.0513,0.0507,0.0527
AGE-Uniform,GKD-b_43_n150_m15,63.7301,43.3866,78.2133,58.0191,0.0877,0.0874,0.0884
AGE-Uniform,GKD-b_14_n50_m5,18.0036,13.5934,23.3112,90.7618,0.0469,0.0463,0.0485
AGE-Uniform,GKD-b_50_n150_m45,490.8639,402.8496,610.395,49.3023,0.3342,0.3303,0.3386
AGE-Uniform,GKD-b_16_n50_m15,105.567,51.5475,158.1525,59.5084,0.0731,0.0726,0.0733
AGE-Uniform,GKD-b_33_n125_m12,43.7456,33.7999,67.7156,57.6378,0.0743,0.0739,0.0745
AGE-Uniform,GKD-b_7_n25_m7,27.0079,19.0249,34.9948,47.7978,0.0457,0.0449,0.0469
AGE-Uniform,GKD-b_46_n150_m45,619.8312,522.4561,723.4536,63.2562,0.3259,0.3237,0.3291
AGE-Uniform,GKD-b_25_n100_m10,36.8167,26.0679,40.9053,53.2806,0.0654,0.0651,0.0659
AGE-Uniform,GKD-b_8_n25_m7,26.2705,21.8265,31.6959,36.1976,0.0451,0.045,0.0454
AGE-Uniform,GKD-b_12_n50_m5,9.3774,7.6362,10.7934,77.3813,0.0474,0.0467,0.0484
AGE-Uniform,GKD-b_37_n125_m37,378.2867,300.835,448.0776,47.4223,0.2345,0.2332,0.2358
AGE-Uniform,GKD-b_13_n50_m5,12.3471,6.6496,18.4501,80.8675,0.0467,0.0462,0.0471
AGE-Uniform,GKD-b_35_n125_m12,45.2349,34.8996,49.877,59.9592,0.0741,0.0736,0.075
AGE-Uniform,GKD-b_45_n150_m15,60.5139,47.5405,72.3192,54.1048,0.0876,0.0872,0.088
AGE-Uniform,GKD-b_36_n125_m37,335.3781,288.1191,425.2583,53.6539,0.2338,0.2334,0.2342
AGE-Uniform,GKD-b_30_n100_m30,302.6356,244.1284,353.3325,57.8768,0.1665,0.1659,0.1671
AGE-Uniform,GKD-b_49_n150_m45,602.0998,501.604,652.644,62.3967,0.3234,0.3221,0.3245
AGE-Uniform,GKD-b_4_n25_m2,0.0,0.0,0.0,0.0,0.0521,0.051,0.0563
AGE-Uniform,GKD-b_22_n100_m10,37.7197,33.1205,43.2222,63.774,0.0666,0.0648,0.07
AGE-Uniform,GKD-b_28_n100_m30,298.2047,241.6675,317.5435,64.3268,0.1683,0.1662,0.1733
AGE-Uniform,GKD-b_3_n25_m2,0.0,0.0,0.0,0.0,0.051,0.0505,0.0516
AGE-Uniform,GKD-b_15_n50_m5,13.8755,9.7896,19.6832,79.4377,0.0464,0.046,0.0469
