Algorithm,Instance,Mean Fitness,Min Fitness,Max Fitness,Deviation %,Mean Time (s),Min Time (s),Max Time (s)
AGG-Position,GKD-b_44_n150_m15,71.5877,47.4681,107.3353,63.7709,0.0735,0.0732,0.0738
AGG-Position,GKD-b_2_n25_m2,0.0,0.0,0.0,0.0,0.0333,0.0332,0.0336
AGG-Position,GKD-b_5_n25_m2,0.0,0.0,0.0,0.0,0.0332,0.033,0.0335
AGG-Position,GKD-b_6_n25_m7,28.3377,20.0439,41.1672,55.12,0.0384,0.0381,0.0386
AGG-Position,GKD-b_32_n125_m12,48.6998,31.2709,69.423,61.4189,0.0619,0.0616,0.0622
AGG-Position,GKD-b_18_n50_m15,101.2953,78.7714,126.7709,57.3563,0.0642,0.0639,0.0647
AGG-Position,GKD-b_38_n125_m37,466.0789,333.7793,557.3555,59.6706,0.2223,0.2201,0.2238
AGG-Position,GKD-b_17_n50_m15,88.7642,67.8096,105.0048,45.8029,0.0643,0.0637,0.0656
AGG-Position,GKD-b_39_n125_m37,371.5919,258.5137,498.4702,54.6303,0.2213,0.2194,0.2253
AGG-Position,GKD-b_21_n100_m10,44.2785,24.6567,67.5568,68.7613,0.0553,0.0545,0.0565
AGG-Position,GKD-b_48_n150_m45,562.9474,443.249,701.3257,59.7218,0.3139,0.3133,0.3146
AGG-Position,GKD-b_11_n50_m5,12.537,8.1558,20.0592,84.6367,0.0389,0.0386,0.0395
AGG-Position,GKD-b_19_n50_m15,104.9833,68.1115,130.7139,55.7906,0.0648,0.0643,0.0652
AGG-Position,GKD-b_47_n150_m45,479.6342,351.8042,587.0107,52.3381,0.3145,0.3127,0.3168
AGG-Position,GKD-b_41_n150_m15,62.0235,60.0112,64.1714,62.3593,0.0766,0.0757,0.0779
AGG-Position,GKD-b_1_n25_m2,0.0,0.0,0.0,0.0,0.0331,0.033,0.0334
AGG-Position,GKD-b_43_n150_m15,63.8495,50.2206,78.5477,58.0976,0.0763,0.0749,0.0791
AGG-Position,GKD-b_14_n50_m5,9.4064,7.6115,13.5934,82.3184,0.0387,0.0382,0.039
AGG-Position,GKD-b_50_n150_m45,623.6102,485.4551,832.626,60.0942,0.3183,0.3113,0.3274
AGG-Position,GKD-b_16_n50_m15,140.9482,99.474,175.3947,69.6727,0.0645,0.064,0.0648
AGG-Position,GKD-b_33_n125_m12,53.3365,31.8176,66.6633,65.2553,0.0627,0.0624,0.0629
AGG-Position,GKD-b_7_n25_m7,25.0958,19.0249,33.3063,43.8203,0.0388,0.0383,0.039
AGG-Position,GKD-b_46_n150_m45,550.3396,493.1333,691.3462,58.6166,0.3131,0.3106,0.3181
AGG-Position,GKD-b_25_n100_m10,43.7865,34.5028,64.9387,60.7173,0.0554,0.0553,0.0557
AGG-Position,GKD-b_8_n25_m7,32.6319,24.973,41.2991,48.6355,0.0386,0.0386,0.0387
AGG-Position,GKD-b_12_n50_m5,16.4827,7.6362,22.8566,87.1317,0.0393,0.039,0.0395
AGG-Position,GKD-b_37_n125_m37,444.049,359.127,505.9609,55.2089,0.2218,0.221,0.2228
AGG-Position,GKD-b_13_n50_m5,11.5533,8.8942,14.5584,79.5529,0.0388,0.0383,0.0392
AGG-Position,GKD-b_35_n125_m12,45.2276,32.2261,74.6292,59.9527,0.0627,0.0625,0.0629
AGG-Position,GKD-b_45_n150_m15,60.6587,52.215,67.7316,54.2143,0.0755,0.0752,0.076
AGG-Position,GKD-b_36_n125_m37,345.9016,317.166,418.2891,55.0639,0.2243,0.2219,0.2254
AGG-Position,GKD-b_30_n100_m30,287.8817,233.8677,326.0754,55.718,0.1564,0.1562,0.1566
AGG-Position,GKD-b_49_n150_m45,529.1917,485.873,567.6265,57.216,0.3102,0.3098,0.3106
AGG-Position,GKD-b_4_n25_m2,0.0,0.0,0.0,0.0,0.0335,0.0332,0.0339
AGG-Position,GKD-b_22_n100_m10,31.6962,22.0237,39.8213,56.8896,0.0558,0.055,0.0566
AGG-Position,GKD-b_28_n100_m30,313.4341,261.8223,366.4175,66.0601,0.1569,0.1562,0.1571
AGG-Position,GKD-b_3_n25_m2,0.0,0.0,0.0,0.0,0.0335,0.0332,0.0337
AGG-Position,GKD-b_15_n50_m5,14.9167,12.5171,19.2535,80.8729,0.0391,0.0388,0.0393
AGG-Position,GKD-b_42_n150_m15,58.4619,47.3661,70.8025,54.1761,0.0756,0.0753,0.0761
AGG-Position,GKD-b_34_n125_m12,44.5723,40.6001,48.0415,56.277,0.0628,0.0626,0.063
AGG-Position,GKD-b_20_n50_m15,93.701,75.526,131.0874,49.0773,0.0643,0.0639,0.0646
AGG-Position,GKD-b_27_n100_m30,294.6603,197.5457,450.5021,56.8665,0.1568,0.1565,0.1572
AGG-Position,GKD-b_9_n25_m7,29.562,25.0145,40.7074,42.2597,0.0383,0.038,0.0386
AGG-Position,GKD-b_10_n25_m7,34.0437,27.9855,41.0601,31.6608,0.0385,0.0381,0.0389
AGG-Position,GKD-b_29_n100_m30,309.285,197.4043,405.1978,55.5578,0.1573,0.1562,0.1582
AGG-Position,GKD-b_26_n100_m30,328.669,244.0879,389.9622,48.6628,0.1578,0.1574,0.1582
AGG-Position,GKD-b_40_n125_m37,350.7475,274.3418,424.2158,49.196,0.2221,0.2217,0.2225
AGG-Position,GKD-b_24_n100_m10,41.7021,38.171,48.3271,79.2801,0.0553,0.0549,0.0557
AGG-Position,GKD-b_23_n100_m10,44.7322,32.8264,57.579,65.695,0.0551,0.0547,0.0553
AGG-Position,GKD-b_31_n125_m12,37.0644,23.2263,51.7521,68.3115,0.0628,0.0622,0.0631
