Algorithm,Instance,Mean Fitness,Min Fitness,Max Fitness,Deviation %,Mean Time (s),Min Time (s),Max Time (s)
AGG-Uniform,GKD-b_44_n150_m15,68.1512,41.2764,87.4434,61.9441,0.0804,0.0779,0.0871
AGG-Uniform,GKD-b_2_n25_m2,0.0,0.0,0.0,0.0,0.0426,0.042,0.044
AGG-Uniform,GKD-b_5_n25_m2,0.0,0.0,0.0,0.0,0.042,0.0414,0.0436
AGG-Uniform,GKD-b_6_n25_m7,25.9273,12.718,39.0518,50.9476,0.0394,0.0387,0.0414
AGG-Uniform,GKD-b_32_n125_m12,48.5792,38.8931,54.6414,61.3231,0.0662,0.0655,0.0687
AGG-Uniform,GKD-b_18_n50_m15,97.67,81.7513,127.6097,55.7734,0.0663,0.0655,0.0687
AGG-Uniform,GKD-b_38_n125_m37,472.7857,379.3484,555.4592,60.2427,0.2286,0.2258,0.232
AGG-Uniform,GKD-b_17_n50_m15,83.4478,57.8188,110.1122,42.3501,0.0667,0.0659,0.069
AGG-Uniform,GKD-b_39_n125_m37,386.5595,296.748,471.9629,56.387,0.2292,0.2258,0.2334
AGG-Uniform,GKD-b_21_n100_m10,41.7626,34.5363,44.9214,66.8794,0.0606,0.058,0.0676
AGG-Uniform,GKD-b_48_n150_m45,492.2576,419.6411,565.8901,53.9377,0.3215,0.3145,0.3316
AGG-Uniform,GKD-b_11_n50_m5,10.853,7.3608,15.5236,82.2528,0.0411,0.0399,0.043
AGG-Uniform,GKD-b_19_n50_m15,98.9576,70.6547,141.7319,53.0986,0.0674,0.0667,0.0692
AGG-Uniform,GKD-b_47_n150_m45,454.4606,381.1509,515.5952,49.698,0.3211,0.3181,0.327
AGG-Uniform,GKD-b_41_n150_m15,55.695,41.0618,66.9468,58.0822,0.0818,0.0803,0.0856
AGG-Uniform,GKD-b_1_n25_m2,0.0,0.0,0.0,0.0,0.0421,0.0414,0.044
AGG-Uniform,GKD-b_43_n150_m15,64.1021,41.8285,74.1621,58.2628,0.0813,0.0806,0.0831
AGG-Uniform,GKD-b_14_n50_m5,12.6299,6.122,15.6598,86.8313,0.0406,0.0399,0.0421
AGG-Uniform,GKD-b_50_n150_m45,567.2575,397.7705,713.229,56.1299,0.3259,0.3201,0.336
AGG-Uniform,GKD-b_16_n50_m15,95.684,71.1909,157.4312,55.3261,0.0671,0.0663,0.069
AGG-Uniform,GKD-b_33_n125_m12,45.1589,36.141,55.3934,58.9636,0.067,0.0664,0.0692
AGG-Uniform,GKD-b_7_n25_m7,29.7397,19.0249,44.5879,52.5929,0.0403,0.0393,0.0415
AGG-Uniform,GKD-b_46_n150_m45,511.2077,419.6157,654.8066,55.4488,0.3253,0.322,0.328
AGG-Uniform,GKD-b_25_n100_m10,36.7783,29.6344,44.2341,53.232,0.059,0.058,0.0616
AGG-Uniform,GKD-b_8_n25_m7,28.8752,21.2857,42.8037,41.953,0.0396,0.0389,0.0414
AGG-Uniform,GKD-b_12_n50_m5,10.5837,7.6362,13.7587,79.9594,0.0415,0.0406,0.0432
AGG-Uniform,GKD-b_37_n125_m37,442.5768,373.1074,488.79,55.0599,0.2308,0.2269,0.2332
AGG-Uniform,GKD-b_13_n50_m5,16.7946,13.9932,22.6565,85.9341,0.0409,0.0402,0.0428
AGG-Uniform,GKD-b_35_n125_m12,56.7267,49.9486,64.787,68.0707,0.0676,0.0669,0.0702
AGG-Uniform,GKD-b_45_n150_m15,58.8338,48.6908,72.4971,52.7941,0.0812,0.0793,0.0832
AGG-Uniform,GKD-b_36_n125_m37,360.494,338.8848,377.3281,56.8828,0.23,0.2283,0.2323
AGG-Uniform,GKD-b_30_n100_m30,314.0222,264.9944,377.739,59.4042,0.1647,0.1595,0.18
AGG-Uniform,GKD-b_49_n150_m45,594.443,488.0571,707.3989,61.9123,0.3189,0.3162,0.322
AGG-Uniform,GKD-b_4_n25_m2,0.0,0.0,0.0,0.0,0.0423,0.0416,0.0441
AGG-Uniform,GKD-b_22_n100_m10,39.8921,30.9424,51.6818,65.7468,0.0595,0.0588,0.0616
AGG-Uniform,GKD-b_28_n100_m30,249.0863,205.1182,285.6235,57.2922,0.163,0.1601,0.1668
AGG-Uniform,GKD-b_3_n25_m2,0.0,0.0,0.0,0.0,0.0424,0.0415,0.0443
AGG-Uniform,GKD-b_15_n50_m5,15.1127,13.3483,17.3416,81.1209,0.0414,0.0402,0.0453
AGG-Uniform,GKD-b_42_n150_m15,89.8939,78.9789,106.973,70.1987,0.0809,0.0797,0.0854
AGG-Uniform,GKD-b_34_n125_m12,44.4529,40.3495,50.3262,56.1596,0.0677,0.066,0.0722
AGG-Uniform,GKD-b_20_n50_m15,91.2218,72.1139,112.1377,47.6933,0.068,0.0664,0.0711
AGG-Uniform,GKD-b_27_n100_m30,295.7306,259.6646,324.6082,57.0226,0.1611,0.1597,0.1648
AGG-Uniform,GKD-b_9_n25_m7,26.7212,19.9912,41.0352,36.121,0.0397,0.0386,0.0435
AGG-Uniform,GKD-b_10_n25_m7,30.9871,28.251,33.8371,24.9197,0.0434,0.039,0.0489
AGG-Uniform,GKD-b_29_n100_m30,281.6336,206.4424,321.9521,51.1943,0.1622,0.1613,0.1647
AGG-Uniform,GKD-b_26_n100_m30,361.7955,310.0913,436.2366,53.3633,0.161,0.1592,0.1623
AGG-Uniform,GKD-b_40_n125_m37,386.003,314.7666,428.5283,53.8362,0.2277,0.2256,0.2301
AGG-Uniform,GKD-b_24_n100_m10,34.7552,31.3608,40.8127,75.1386,0.0586,0.0575,0.0607
AGG-Uniform,GKD-b_23_n100_m10,33.3621,28.3162,42.5777,54.0035,0.0589,0.058,0.0611
AGG-Uniform,GKD-b_31_n125_m12,43.7475,28.7496,61.7985,73.1524,0.0677,0.0668,0.0696
