Algorithm,Instance,Mean Fitness,Min Fitness,Max Fitness,Deviation %,Mean Time (s),Min Time (s),Max Time (s)
"AM-(10,0.1)+heurLS",GKD-b_44_n150_m15,100.6662,58.6711,125.1105,74.2361,0.0348,0.0345,0.0351
"AM-(10,0.1)+heurLS",GKD-b_2_n25_m2,0.0,0.0,0.0,0.0,0.0196,0.0196,0.0197
"AM-(10,0.1)+heurLS",GKD-b_5_n25_m2,0.0,0.0,0.0,0.0,0.0195,0.0195,0.0196
"AM-(10,0.1)+heurLS",GKD-b_6_n25_m7,12.8703,12.7179,13.4793,1.1833,0.0132,0.0131,0.0134
"AM-(10,0.1)+heurLS",GKD-b_32_n125_m12,65.9677,45.8109,86.9855,71.518,0.0245,0.0244,0.0247
"AM-(10,0.1)+heurLS",GKD-b_18_n50_m15,90.6626,77.1696,104.853,52.3551,0.0331,0.033,0.0335
"AM-(10,0.1)+heurLS",GKD-b_38_n125_m37,590.8653,498.5923,670.2898,68.1878,0.1775,0.1766,0.1779
"AM-(10,0.1)+heurLS",GKD-b_17_n50_m15,101.7477,70.9718,124.2278,52.7187,0.0331,0.0328,0.0333
"AM-(10,0.1)+heurLS",GKD-b_39_n125_m37,477.0491,391.7656,545.7407,64.6598,0.1779,0.1778,0.1781
"AM-(10,0.1)+heurLS",GKD-b_21_n100_m10,51.6671,39.8323,57.8729,73.2286,0.019,0.0189,0.0192
"AM-(10,0.1)+heurLS",GKD-b_48_n150_m45,600.8971,507.0889,678.9185,62.2655,0.2653,0.2649,0.2656
"AM-(10,0.1)+heurLS",GKD-b_11_n50_m5,4.5695,3.6741,5.4908,57.8486,0.0103,0.0102,0.0106
"AM-(10,0.1)+heurLS",GKD-b_19_n50_m15,94.3858,57.6572,135.3162,50.8269,0.0338,0.0333,0.0349
"AM-(10,0.1)+heurLS",GKD-b_47_n150_m45,651.7475,528.2793,722.7378,64.9246,0.2651,0.2617,0.2666
"AM-(10,0.1)+heurLS",GKD-b_41_n150_m15,85.4581,55.2456,136.6565,72.6813,0.0348,0.0345,0.035
"AM-(10,0.1)+heurLS",GKD-b_1_n25_m2,0.0,0.0,0.0,0.0,0.022,0.0197,0.0251
"AM-(10,0.1)+heurLS",GKD-b_43_n150_m15,87.7503,60.1949,131.1794,69.5107,0.0349,0.0346,0.0354
"AM-(10,0.1)+heurLS",GKD-b_14_n50_m5,3.9539,2.9222,5.6418,57.9347,0.01,0.0098,0.0101
"AM-(10,0.1)+heurLS",GKD-b_50_n150_m45,677.323,603.7998,805.2104,63.2588,0.2659,0.2652,0.2661
"AM-(10,0.1)+heurLS",GKD-b_16_n50_m15,116.0195,105.2914,124.4613,63.1564,0.033,0.0329,0.0332
"AM-(10,0.1)+heurLS",GKD-b_33_n125_m12,74.465,53.7353,90.4064,75.1137,0.0245,0.0242,0.0249
"AM-(10,0.1)+heurLS",GKD-b_7_n25_m7,15.6876,14.0988,16.7546,10.128,0.0133,0.0131,0.0135
"AM-(10,0.1)+heurLS",GKD-b_46_n150_m45,721.3689,661.1895,789.0176,68.4282,0.2665,0.2658,0.2674
"AM-(10,0.1)+heurLS",GKD-b_25_n100_m10,48.0228,38.7375,62.3945,64.1826,0.0194,0.0192,0.0196
"AM-(10,0.1)+heurLS",GKD-b_8_n25_m7,17.6007,16.7611,20.9588,4.7697,0.0132,0.013,0.0134
"AM-(10,0.1)+heurLS",GKD-b_12_n50_m5,4.4871,2.1211,5.4996,52.7304,0.01,0.01,0.0102
"AM-(10,0.1)+heurLS",GKD-b_37_n125_m37,547.9523,420.1943,704.4888,63.7022,0.1789,0.1786,0.1792
"AM-(10,0.1)+heurLS",GKD-b_13_n50_m5,5.064,4.4798,6.5285,53.3507,0.01,0.0099,0.0101
"AM-(10,0.1)+heurLS",GKD-b_35_n125_m12,60.6244,54.1966,68.1511,70.1236,0.0245,0.0243,0.0248
"AM-(10,0.1)+heurLS",GKD-b_45_n150_m15,76.7882,56.5864,90.4939,63.8317,0.0353,0.0348,0.0355
"AM-(10,0.1)+heurLS",GKD-b_36_n125_m37,468.8062,349.6924,547.8237,66.8446,0.179,0.1786,0.1793
"AM-(10,0.1)+heurLS",GKD-b_30_n100_m30,374.4781,258.0588,499.8809,65.958,0.1167,0.1155,0.1176
"AM-(10,0.1)+heurLS",GKD-b_49_n150_m45,718.8506,625.2334,791.0,68.5039,0.2673,0.2653,0.2696
"AM-(10,0.1)+heurLS",GKD-b_4_n25_m2,0.0,0.0,0.0,0.0,0.0197,0.0196,0.02
"AM-(10,0.1)+heurLS",GKD-b_22_n100_m10,54.9815,46.4547,70.2407,75.1474,0.0194,0.0191,0.0197
"AM-(10,0.1)+heurLS",GKD-b_28_n100_m30,343.4233,305.4468,379.6909,69.0239,0.1171,0.1162,0.1177
"AM-(10,0.1)+heurLS",GKD-b_3_n25_m2,0.0,0.0,0.0,0.0,0.0196,0.0195,0.0196
"AM-(10,0.1)+heurLS",GKD-b_15_n50_m5,4.0006,2.8531,5.2505,28.6826,0.0102,0.01,0.0105
"AM-(10,0.1)+heurLS",GKD-b_42_n150_m15,119.4085,85.0016,168.757,77.5648,0.0348,0.0344,0.0349
"AM-(10,0.1)+heurLS",GKD-b_34_n125_m12,57.5713,43.7028,79.7122,66.1492,0.0248,0.0247,0.025
"AM-(10,0.1)+heurLS",GKD-b_20_n50_m15,105.3364,80.8625,135.8306,54.7021,0.0331,0.033,0.0333
"AM-(10,0.1)+heurLS",GKD-b_27_n100_m30,374.867,225.1321,502.1697,66.0954,0.1179,0.1174,0.1184
"AM-(10,0.1)+heurLS",GKD-b_9_n25_m7,17.0692,17.0692,17.0692,-0.0001,0.013,0.0128,0.0132
"AM-(10,0.1)+heurLS",GKD-b_10_n25_m7,23.2651,23.2651,23.2651,-0.0004,0.0132,0.013,0.0134
"AM-(10,0.1)+heurLS",GKD-b_29_n100_m30,362.9294,319.6841,393.8506,62.1267,0.1169,0.1163,0.1183
"AM-(10,0.1)+heurLS",GKD-b_26_n100_m30,456.3624,426.0103,508.2292,63.0273,0.1165,0.1157,0.1177
"AM-(10,0.1)+heurLS",GKD-b_40_n125_m37,509.1477,439.9873,554.1626,65.0016,0.1788,0.1785,0.1791
"AM-(10,0.1)+heurLS",GKD-b_24_n100_m10,48.4114,39.6141,57.6481,82.1516,0.0192,0.0189,0.0198
"AM-(10,0.1)+heurLS",GKD-b_23_n100_m10,55.3367,49.4559,60.7553,72.2691,0.0192,0.0189,0.0196
"AM-(10,0.1)+heurLS",GKD-b_31_n125_m12,74.8368,58.8195,92.9205,84.3057,0.0247,0.0245,0.0249
