Algorithm,Instance,Mean Fitness,Min Fitness,Max Fitness,Deviation %,Mean Time (s),Min Time (s),Max Time (s)
"AM-(10,0.1mej)+heurLS",GKD-b_44_n150_m15,156.6928,144.223,165.9681,83.4481,0.0382,0.035,0.042
"AM-(10,0.1mej)+heurLS",GKD-b_2_n25_m2,0.0,0.0,0.0,0.0,0.0196,0.0196,0.0196
"AM-(10,0.1mej)+heurLS",GKD-b_5_n25_m2,0.0,0.0,0.0,0.0,0.0195,0.0195,0.0196
"AM-(10,0.1mej)+heurLS",GKD-b_6_n25_m7,12.8702,12.7179,13.4793,1.1829,0.0137,0.0135,0.0137
"AM-(10,0.1mej)+heurLS",GKD-b_32_n125_m12,106.4278,99.9963,114.9888,82.3458,0.0252,0.025,0.0254
"AM-(10,0.1mej)+heurLS",GKD-b_18_n50_m15,143.287,128.7623,157.2893,69.8534,0.0337,0.0334,0.0339
"AM-(10,0.1mej)+heurLS",GKD-b_38_n125_m37,827.7821,774.4019,877.4949,77.2927,0.1786,0.1776,0.1793
"AM-(10,0.1mej)+heurLS",GKD-b_17_n50_m15,151.3664,140.4503,169.9099,68.2178,0.0338,0.0336,0.034
"AM-(10,0.1mej)+heurLS",GKD-b_39_n125_m37,732.6556,711.6843,759.2915,76.9892,0.1789,0.1781,0.1792
"AM-(10,0.1mej)+heurLS",GKD-b_21_n100_m10,72.2124,67.4993,76.8048,80.8454,0.0201,0.02,0.0201
"AM-(10,0.1mej)+heurLS",GKD-b_48_n150_m45,989.3062,865.6577,1109.6562,77.0804,0.2659,0.265,0.2674
"AM-(10,0.1mej)+heurLS",GKD-b_11_n50_m5,3.3283,1.9261,4.9717,42.1295,0.0107,0.0106,0.0108
"AM-(10,0.1mej)+heurLS",GKD-b_19_n50_m15,171.1075,142.2086,210.4086,72.8753,0.0341,0.0337,0.0351
"AM-(10,0.1mej)+heurLS",GKD-b_47_n150_m45,1023.5404,958.061,1070.7539,77.6655,0.266,0.2645,0.2667
"AM-(10,0.1mej)+heurLS",GKD-b_41_n150_m15,157.2318,128.9775,182.8816,85.1518,0.0357,0.0355,0.036
"AM-(10,0.1mej)+heurLS",GKD-b_1_n25_m2,0.0,0.0,0.0,0.0,0.02,0.0196,0.0213
"AM-(10,0.1mej)+heurLS",GKD-b_43_n150_m15,175.5107,114.8578,198.8093,84.7562,0.0361,0.0355,0.0367
"AM-(10,0.1mej)+heurLS",GKD-b_14_n50_m5,3.4062,1.6632,5.4695,51.171,0.0105,0.0105,0.0106
"AM-(10,0.1mej)+heurLS",GKD-b_50_n150_m45,994.9893,922.4209,1093.0957,74.989,0.2668,0.266,0.2672
"AM-(10,0.1mej)+heurLS",GKD-b_16_n50_m15,174.3089,165.8815,181.1528,75.477,0.0339,0.0338,0.034
"AM-(10,0.1mej)+heurLS",GKD-b_33_n125_m12,102.2387,75.5533,127.4662,81.8742,0.0253,0.0248,0.0256
"AM-(10,0.1mej)+heurLS",GKD-b_7_n25_m7,15.4205,14.0988,18.0632,8.5714,0.0138,0.0136,0.014
"AM-(10,0.1mej)+heurLS",GKD-b_46_n150_m45,1057.8493,1002.3877,1084.9331,78.4705,0.2674,0.2667,0.2679
"AM-(10,0.1mej)+heurLS",GKD-b_25_n100_m10,62.8229,55.0092,82.5027,72.6207,0.0199,0.0194,0.0201
"AM-(10,0.1mej)+heurLS",GKD-b_8_n25_m7,16.7612,16.7611,16.7612,-0.0002,0.0138,0.0136,0.0139
"AM-(10,0.1mej)+heurLS",GKD-b_12_n50_m5,3.9895,2.479,5.4309,46.834,0.0106,0.0106,0.0106
"AM-(10,0.1mej)+heurLS",GKD-b_37_n125_m37,902.5715,824.5566,960.8203,77.9636,0.1792,0.1776,0.1798
"AM-(10,0.1mej)+heurLS",GKD-b_13_n50_m5,3.6611,3.0816,4.581,35.4762,0.0106,0.0105,0.0106
"AM-(10,0.1mej)+heurLS",GKD-b_35_n125_m12,94.4128,83.9505,111.3047,80.8157,0.0253,0.0252,0.0254
"AM-(10,0.1mej)+heurLS",GKD-b_45_n150_m15,156.3662,115.0853,181.7738,82.2385,0.0364,0.0358,0.0373
"AM-(10,0.1mej)+heurLS",GKD-b_36_n125_m37,762.8938,709.8911,828.5693,79.6256,0.1799,0.1793,0.1804
"AM-(10,0.1mej)+heurLS",GKD-b_30_n100_m30,567.42,532.5054,600.1628,77.5334,0.1177,0.1161,0.1185
"AM-(10,0.1mej)+heurLS",GKD-b_49_n150_m45,1062.8246,933.7578,1178.4873,78.6974,0.2675,0.2668,0.2687
"AM-(10,0.1mej)+heurLS",GKD-b_4_n25_m2,0.0,0.0,0.0,0.0,0.02,0.0197,0.0213
"AM-(10,0.1mej)+heurLS",GKD-b_22_n100_m10,60.6728,48.5109,66.6001,77.4786,0.0202,0.0196,0.0215
"AM-(10,0.1mej)+heurLS",GKD-b_28_n100_m30,608.5825,580.6592,640.4121,82.5202,0.117,0.1165,0.1185
"AM-(10,0.1mej)+heurLS",GKD-b_3_n25_m2,0.0,0.0,0.0,0.0,0.0196,0.0195,0.0196
"AM-(10,0.1mej)+heurLS",GKD-b_15_n50_m5,4.7474,3.8815,6.0155,39.9006,0.0106,0.0106,0.0107
"AM-(10,0.1mej)+heurLS",GKD-b_42_n150_m15,173.9282,147.0382,224.9492,84.5974,0.0356,0.035,0.0358
"AM-(10,0.1mej)+heurLS",GKD-b_34_n125_m12,110.9614,84.1204,122.4519,82.4368,0.0253,0.0249,0.0256
"AM-(10,0.1mej)+heurLS",GKD-b_20_n50_m15,153.0981,118.2219,179.5516,68.8336,0.0337,0.0332,0.034
"AM-(10,0.1mej)+heurLS",GKD-b_27_n100_m30,607.8723,577.2969,663.4783,79.0915,0.1179,0.1174,0.1186
"AM-(10,0.1mej)+heurLS",GKD-b_9_n25_m7,17.0692,17.0692,17.0692,-0.0001,0.0136,0.0135,0.0137
"AM-(10,0.1mej)+heurLS",GKD-b_10_n25_m7,23.2651,23.2651,23.2651,-0.0004,0.0136,0.0136,0.0137
"AM-(10,0.1mej)+heurLS",GKD-b_29_n100_m30,602.5912,574.1328,637.957,77.1897,0.1169,0.1163,0.1178
"AM-(10,0.1mej)+heurLS",GKD-b_26_n100_m30,635.9584,609.3726,659.2644,73.4685,0.1165,0.1161,0.1169
"AM-(10,0.1mej)+heurLS",GKD-b_40_n125_m37,798.3492,729.0283,910.4678,77.6797,0.1798,0.1791,0.1803
"AM-(10,0.1mej)+heurLS",GKD-b_24_n100_m10,60.1197,53.7311,66.0577,85.6276,0.0197,0.0195,0.0198
"AM-(10,0.1mej)+heurLS",GKD-b_23_n100_m10,66.8628,61.4665,72.1381,77.0494,0.0198,0.0196,0.0199
"AM-(10,0.1mej)+heurLS",GKD-b_31_n125_m12,117.7255,102.0808,141.1375,90.0233,0.0253,0.0246,0.0258
