Algorithm,Instance,Mean Fitness,Min Fitness,Max Fitness,Deviation %,Mean Time (s),Min Time (s),Max Time (s)
"AM-(10,0.1mej)",GKD-b_44_n150_m15,57.6302,52.6903,64.3427,54.9965,0.0802,0.0794,0.0807
"AM-(10,0.1mej)",GKD-b_2_n25_m2,0.0,0.0,0.0,0.0,0.02,0.0199,0.02
"AM-(10,0.1mej)",GKD-b_5_n25_m2,0.0,0.0,0.0,0.0,0.0199,0.0198,0.0199
"AM-(10,0.1mej)",GKD-b_6_n25_m7,12.7179,12.7179,12.7179,-0.0005,0.0176,0.0175,0.0177
"AM-(10,0.1mej)",GKD-b_32_n125_m12,35.3988,31.027,41.6346,46.9221,0.0517,0.0514,0.0519
"AM-(10,0.1mej)",GKD-b_18_n50_m15,63.6071,54.7947,74.741,32.0892,0.0487,0.0484,0.0488
"AM-(10,0.1mej)",GKD-b_38_n125_m37,474.7038,439.3806,517.4006,60.4033,0.3178,0.3143,0.3199
"AM-(10,0.1mej)",GKD-b_17_n50_m15,62.4247,56.7696,68.6075,22.935,0.0499,0.0497,0.0502
"AM-(10,0.1mej)",GKD-b_39_n125_m37,399.0665,361.5757,422.5996,57.7539,0.3121,0.3091,0.3142
"AM-(10,0.1mej)",GKD-b_21_n100_m10,23.1226,15.6826,28.4363,40.1798,0.0367,0.0362,0.037
"AM-(10,0.1mej)",GKD-b_48_n150_m45,541.5422,531.6772,559.2432,58.1297,0.4928,0.4867,0.4977
"AM-(10,0.1mej)",GKD-b_11_n50_m5,2.2757,1.926,3.6741,15.3612,0.0136,0.0134,0.0137
"AM-(10,0.1mej)",GKD-b_19_n50_m15,70.9656,63.9683,74.2168,34.5987,0.0498,0.0488,0.0508
"AM-(10,0.1mej)",GKD-b_47_n150_m45,579.1673,547.0249,609.0918,60.529,0.4873,0.4842,0.4915
"AM-(10,0.1mej)",GKD-b_41_n150_m15,55.7364,51.0798,67.5981,58.1134,0.0831,0.0817,0.085
"AM-(10,0.1mej)",GKD-b_1_n25_m2,0.0,0.0,0.0,0.0,0.02,0.02,0.02
"AM-(10,0.1mej)",GKD-b_43_n150_m15,64.666,55.7883,74.5553,58.6267,0.0829,0.0823,0.0834
"AM-(10,0.1mej)",GKD-b_14_n50_m5,2.8737,1.6632,4.9344,42.1239,0.0139,0.0136,0.0152
"AM-(10,0.1mej)",GKD-b_50_n150_m45,598.8232,573.5283,680.4331,58.4424,0.4847,0.4816,0.4872
"AM-(10,0.1mej)",GKD-b_16_n50_m15,72.5917,67.4946,76.0647,41.1148,0.05,0.0496,0.0511
"AM-(10,0.1mej)",GKD-b_33_n125_m12,37.3539,32.9386,43.2347,50.3892,0.0532,0.0527,0.0535
"AM-(10,0.1mej)",GKD-b_7_n25_m7,14.0987,14.0986,14.0988,-0.0005,0.0179,0.0178,0.018
"AM-(10,0.1mej)",GKD-b_46_n150_m45,652.4141,597.5708,673.8628,65.0913,0.484,0.4802,0.4857
"AM-(10,0.1mej)",GKD-b_25_n100_m10,25.0386,20.0454,29.1945,31.304,0.0359,0.0357,0.036
"AM-(10,0.1mej)",GKD-b_8_n25_m7,16.7611,16.7611,16.7612,-0.0003,0.0175,0.0174,0.0177
"AM-(10,0.1mej)",GKD-b_12_n50_m5,3.0941,2.0513,3.6627,31.449,0.0137,0.0133,0.0145
"AM-(10,0.1mej)",GKD-b_37_n125_m37,478.4894,459.1719,510.2314,58.4328,0.3293,0.3283,0.3301
"AM-(10,0.1mej)",GKD-b_13_n50_m5,3.0581,2.3623,4.0205,22.753,0.0136,0.0135,0.0138
"AM-(10,0.1mej)",GKD-b_35_n125_m12,37.5557,30.2872,44.0089,51.7719,0.0524,0.0521,0.0532
