Algorithm,Instance,Mean Fitness,Min Fitness,Max Fitness,Deviation %,Mean Time (s),Min Time (s),Max Time (s)
"AM-(10,1.0)",GKD-b_44_n150_m15,53.0734,46.7108,60.3822,51.1326,0.0806,0.0783,0.0848
"AM-(10,1.0)",GKD-b_2_n25_m2,0.0,0.0,0.0,0.0,0.0155,0.0155,0.0158
"AM-(10,1.0)",GKD-b_5_n25_m2,0.0,0.0,0.0,0.0,0.0155,0.0154,0.0155
"AM-(10,1.0)",GKD-b_6_n25_m7,12.7179,12.7178,12.718,-0.0003,0.0163,0.0158,0.0175
"AM-(10,1.0)",GKD-b_32_n125_m12,36.6187,33.286,41.1211,48.6903,0.049,0.0485,0.0495
"AM-(10,1.0)",GKD-b_18_n50_m15,59.7795,43.1959,68.0715,27.7409,0.0466,0.0465,0.0467
"AM-(10,1.0)",GKD-b_38_n125_m37,471.3751,428.7722,500.1943,60.1237,0.3154,0.314,0.3167
"AM-(10,1.0)",GKD-b_17_n50_m15,62.0748,55.3497,70.573,22.5006,0.0479,0.0472,0.0484
"AM-(10,1.0)",GKD-b_39_n125_m37,415.22,391.2207,438.3296,59.3974,0.3132,0.3071,0.3233
"AM-(10,1.0)",GKD-b_21_n100_m10,25.0704,21.0664,28.2277,44.8273,0.0344,0.0341,0.0345
"AM-(10,1.0)",GKD-b_48_n150_m45,544.3979,522.436,569.938,58.3493,0.4962,0.492,0.503
"AM-(10,1.0)",GKD-b_11_n50_m5,3.2676,1.9261,3.6741,41.0538,0.0126,0.0124,0.0129
"AM-(10,1.0)",GKD-b_19_n50_m15,66.1576,59.3622,70.2648,29.8457,0.0473,0.0468,0.0481
"AM-(10,1.0)",GKD-b_47_n150_m45,568.0936,540.8691,583.2681,59.7596,0.4872,0.4846,0.4888
"AM-(10,1.0)",GKD-b_41_n150_m15,56.2175,53.5037,58.7625,58.4719,0.081,0.0803,0.0819
"AM-(10,1.0)",GKD-b_1_n25_m2,0.0,0.0,0.0,0.0,0.0155,0.0154,0.0155
"AM-(10,1.0)",GKD-b_43_n150_m15,62.8498,52.0677,70.9972,57.4311,0.0799,0.0794,0.0806
"AM-(10,1.0)",GKD-b_14_n50_m5,2.4713,1.6632,3.1856,32.6988,0.0126,0.0124,0.0127
"AM-(10,1.0)",GKD-b_50_n150_m45,600.3281,549.7236,621.2412,58.5466,0.4837,0.4762,0.4935
"AM-(10,1.0)",GKD-b_16_n50_m15,68.0142,57.7594,75.8267,37.1517,0.0476,0.0473,0.048
"AM-(10,1.0)",GKD-b_33_n125_m12,38.5714,33.5479,42.5604,51.9551,0.0511,0.0505,0.0514
"AM-(10,1.0)",GKD-b_7_n25_m7,14.0987,14.0986,14.0988,-0.0001,0.0171,0.0159,0.0177
"AM-(10,1.0)",GKD-b_46_n150_m45,617.6381,567.7964,650.6421,63.1258,0.4827,0.4805,0.4861
"AM-(10,1.0)",GKD-b_25_n100_m10,26.6036,23.4258,29.4719,35.3453,0.0338,0.0336,0.0339
"AM-(10,1.0)",GKD-b_8_n25_m7,16.7611,16.7611,16.7612,-0.0004,0.0169,0.0163,0.0185
"AM-(10,1.0)",GKD-b_12_n50_m5,2.7275,2.4268,3.391,22.2351,0.0124,0.0122,0.0126
"AM-(10,1.0)",GKD-b_37_n125_m37,466.24,437.418,509.168,57.3407,0.3252,0.3215,0.331
"AM-(10,1.0)",GKD-b_13_n50_m5,2.7265,2.3623,3.4638,13.3563,0.0127,0.0125,0.0129
"AM-(10,1.0)",GKD-b_35_n125_m12,37.3556,31.997,41.8716,51.5135,0.05,0.0497,0.0503
"AM-(10,1.0)",GKD-b_45_n150_m15,52.6304,44.601,61.9614,47.2301,0.0792,0.0785,0.0808
"AM-(10,1.0)",GKD-b_36_n125_m37,373.7151,326.2236,404.7622,58.4082,0.3197,0.3162,0.3231
"AM-(10,1.0)",GKD-b_30_n100_m30,297.4307,267.6667,320.9719,57.1397,0.1991,0.1966,0.2005
"AM-(10,1.0)",GKD-b_49_n150_m45,596.6247,572.4028,610.1455,62.0516,0.4865,0.478,0.4973
"AM-(10,1.0)",GKD-b_4_n25_m2,0.0,0.0,0.0,0.0,0.0156,0.0155,0.0159
"AM-(10,1.0)",GKD-b_22_n100_m10,25.1908,18.5193,30.0061,45.7566,0.034,0.0332,0.0352
"AM-(10,1.0)",GKD-b_28_n100_m30,284.0302,259.083,310.8774,62.5465,0.2034,0.2025,0.2048
"AM-(10,1.0)",GKD-b_3_n25_m2,0.0,0.0,0.0,0.0,0.0155,0.0155,0.0157
"AM-(10,1.0)",GKD-b_15_n50_m5,3.2107,2.8531,4.4597,11.1373,0.0124,0.0123,0.0125
"AM-(10,1.0)",GKD-b_42_n150_m15,63.7832,55.8558,72.7456,57.9991,0.081,0.0796,0.0821
"AM-(10,1.0)",GKD-b_34_n125_m12,36.7797,25.7545,43.7815,47.0134,0.0519,0.0514,0.0523
"AM-(10,1.0)",GKD-b_20_n50_m15,66.5625,53.5643,73.4043,28.3154,0.0466,0.0463,0.0469
"AM-(10,1.0)",GKD-b_27_n100_m30,290.2322,258.3936,332.6318,56.2084,0.193,0.1915,0.194
"AM-(10,1.0)",GKD-b_9_n25_m7,17.0692,17.0692,17.0692,-0.0001,0.0171,0.0168,0.0173
"AM-(10,1.0)",GKD-b_10_n25_m7,23.2651,23.2651,23.2651,-0.0004,0.0165,0.0164,0.0167
"AM-(10,1.0)",GKD-b_29_n100_m30,287.5791,268.0464,297.8232,52.2034,0.1933,0.1923,0.1941
"AM-(10,1.0)",GKD-b_26_n100_m30,330.0819,322.5908,348.897,48.8825,0.198,0.1965,0.2
"AM-(10,1.0)",GKD-b_40_n125_m37,447.4201,436.9536,473.7412,60.1731,0.313,0.3087,0.3166
"AM-(10,1.0)",GKD-b_24_n100_m10,23.8428,20.8635,27.4929,63.76,0.0331,0.0329,0.0333
"AM-(10,1.0)",GKD-b_23_n100_m10,24.3496,20.6949,28.0341,36.9789,0.0332,0.033,0.0334
"AM-(10,1.0)",GKD-b_31_n125_m12,37.7796,36.1239,41.9285,68.9114,0.0549,0.0544,0.0554
